,lat,lon,max_temp,humidity,wind_speed,cloudiness,country,date,name
285,-21.3393,55.4781,67.68,64,9.22,75,RE,1665365028,Saint-Pierre
286,-5.95,34.1333,62.28,63,8.23,87,TZ,1665365029,Mgandu
287,42.6225,126.2614,35.4,99,7.29,100,CN,1665365029,Huinan
288,-0.0333,109.3333,74.98,94,4.61,75,ID,1665365029,Pontianak
289,66.8014,65.8081,40.95,93,5.55,100,RU,1665365030,Kharp
290,42.3333,13.95,56.84,84,1.52,100,IT,1665365030,Provincia di Pescara
291,38.421,-121.4238,84.74,39,5.75,0,US,1665364841,Laguna
292,15.1333,-23.2167,78.51,78,12.62,100,CV,1665365030,Vila do Maio
293,44.235,133.3642,45.27,94,11.65,100,RU,1665365031,Novosysoyevka
294,50.3164,-122.8027,69.49,43,1.12,11,CA,1665365031,Pemberton
295,4.9158,29.4742,65.73,96,2.51,91,SS,1665365031,Maridi
296,34.8014,-106.5436,57.81,54,5.41,92,US,1665365032,Meadow Lake
297,31.2089,16.5887,70.68,67,10.71,0,LY,1665365032,Sirte
298,38.2414,16.2623,72.32,84,1.68,30,IT,1665365032,Locri
299,5.9538,116.6641,77.59,81,1.1,100,MY,1665365033,Ranau
300,1.2492,-78.9831,76.69,80,9.17,100,EC,1665365033,Valdez
301,-28.7667,114.6,64.81,72,11.5,100,AU,1665365033,Geraldton
302,50.5167,115.1333,39.79,34,5.32,83,RU,1665365034,Nizhniy Tsasuchey
303,-1.195,-46.02,78.66,80,6.91,28,BR,1665365034,Carutapera
304,-15.7667,128.7333,93.18,24,13.8,15,AU,1665364863,Kununurra
305,-7.6087,15.0613,66.0,98,2.84,90,AO,1665365035,Uíge
306,41.1415,-73.3579,52.02,66,4.61,0,US,1665365035,Westport
307,67.5641,33.4031,34.86,92,5.84,17,RU,1665365035,Apatity
308,63.7898,74.523,42.13,89,14.36,100,RU,1665365035,Muravlenko
309,51.2836,81.1056,45.7,81,9.42,100,RU,1665365036,Veseloyarsk
310,66.1451,-65.7125,24.73,59,3.76,73,CA,1665365036,Pangnirtung
311,39.05,-27.9833,70.38,92,11.05,0,PT,1665365037,Lagoa
312,28.2333,83.9833,69.8,71,5.64,100,NP,1665365037,Pokhara
313,20.931,-17.0347,69.78,88,14.97,100,MR,1665365037,Nouadhibou
314,35.1333,140.3,77.5,86,24.72,100,JP,1665365038,Katsuura
315,-32.25,148.6167,64.53,55,6.91,10,AU,1665364999,Dubbo
316,1.2391,23.616,69.37,96,0.4,100,CD,1665365038,Basoko
317,49.7502,-77.6328,32.11,93,3.44,40,CA,1665365039,Matagami
318,60.34,102.2797,33.44,95,2.91,48,RU,1665365039,Vanavara
319,9.4942,50.8122,76.32,88,14.07,99,SO,1665365040,Bandarbeyla
